Image;Cat;Cat_Name;Modified_Img;Modified_Grade;Guesses_Total;Guesses_Correct;Difficulty_Img;Guesses_Cat_D;Guesses_Cat_S;Guesses_Cat_B;Guesses_Experts;Accuracy_Experts;Classification_Expert;Expert_Correct;Classification_AI;Confidence_AI;AI_Correct;Dataset;URL;Artist;License
114;1;D;0;;51;0,901960784;0,098039216;46;5;0;21;0,952380952;1;1;1;1;1;Experimental Study Set;https://as1.ftcdn.net/v2/jpg/03/95/26/96/1000_F_395269608_Mn5GTkOxCMTXisqVbfCDis3KBwge0zPD.jpg;Mili Vigerova Fotos, Bilder, Stockmedien | Adobe Stock;CC BY-SA
115;1;D;0;;67;0,76119403;0,23880597;51;16;0;30;0,866666667;1;1;1;1;1;Experimental Study Set;https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Tomcat_Leonidas_in_spring_05.jpg/640px-Tomcat_Leonidas_in_spring_05.jpg;//commons.wikimedia.org/wiki/User:Pimpinellus;CC BY-SA 4.0
116;1;D;0;;63;0,873015873;0,126984127;55;8;0;32;0,875;1;1;1;0,7583;1;Experimental Study Set;https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Kamee01_edit.jpg/640px-Kamee01_edit.jpg;//commons.wikimedia.org/wiki/User:Martin_Bahmann;CC BY-SA 3.0
118;1;D;0;;75;0,866666667;0,133333333;65;10;0;34;0,911764706;;;2;1;0;Recommender Test Set;https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/American_shorthair_in_french_garden.JPG/640px-American_shorthair_in_french_garden.JPG;//commons.wikimedia.org/wiki/User:Ianare;CC BY-SA 3.0
120;1;D;0;;72;0,888888889;0,111111111;64;8;0;27;0,925925926;;;1;1;1;Recommender Test Set;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Savannah.jpg/640px-Savannah.jpg;//commons.wikimedia.org/wiki/User:Galawebdesign;CC BY 3.0
121;1;D;0;;69;0,347826087;0,652173913;24;45;0;25;0,36;1;1;1;1;1;Experimental Study Set;https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Savannah_Cat_closeup_%282006_photo%3B_cropped_2022%29.jpg/640px-Savannah_Cat_closeup_%282006_photo%3B_cropped_2022%29.jpg;Jason Douglas;CC0 
201;2;S;0;;62;0,161290323;0,838709677;0;10;52;16;0,375;2;1;3;1;0;Experimental Study Set;https://www.shutterstock.com/de/image-photo/cougar-78711208;Stockfoto- und Stockbild-Portfolio von Scott E Read | Shutterstock;CC BY-SA
203;2;S;0;;62;0,629032258;0,370967742;23;39;0;25;0,8;2;1;2;0,9363;1;Experimental Study Set;https://www.shutterstock.com/de/image-photo/smallest-wild-world-sri-lanka-prionailurus-796460383;Stockfoto- und Stockbild-Portfolio von Jirik V | Shutterstock;CC BY-SA
205;2;S;0;;64;0,5625;0,4375;28;36;0;26;0,730769231;;;2;0,8195;1;Recommender Test Set;https:https://www.shutterstock.com/de/image-photo/cute-portrait-european-wild-cat-felis-682406512;Stockfoto- und Stockbild-Portfolio von Rudmer Zwerver | Shutterstock;CC BY-SA
206;2;S;0;;56;0,642857143;0,357142857;20;36;0;24;0,75;;;2;1;1;Recommender Test Set;https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Die_Wildkatze_vor_ihrem_Kletterbaum.jpg/1600px-Die_Wildkatze_vor_ihrem_Kletterbaum.jpg?20160515193123;//commons.wikimedia.org/wiki/User:Michael_G%C3%A4bler;CC BY 3.0
